,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Orang yang dites,Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),,Dosis pertama,Dosis kedua,Dosis pertama (harian),Dosis kedua (harian),Dosis pertama (mingguan),Dosis kedua (mingguan),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian
2-Feb,"10,379",,,"1,099,687","172,576",15.69%,"12,848","896,530",81.53%,96.70%,304,"30,581",2.78%,3.30%,,,"75,533","9,358,604","6,233,289","5,133,602",,,"71,702","42,944",,"23,086",8.51,5.67,4.14,17.64%,24.17%,0.95%,28.95%,"68,142","43,093",1.58,,"596,260","51,999","56,728","16,593","50,082","7,428",,,,,,,,,,,,
3-Feb,"11,984",,,"1,111,671","175,236",15.76%,"9,135","905,665",81.47%,96.71%,189,"30,770",2.77%,3.29%,,,"76,657","9,433,569","6,280,182","5,168,511",,,"74,965","46,893",,"23,260",8.49,5.65,3.91,17.70%,25.56%,1.09%,28.93%,"67,739","43,151",1.57,,"646,026","71,621","49,766","19,622","48,289","10,222",,,,,,,,,,,,
4-Feb,"11,434",,,"1,123,105","174,798",15.56%,"11,641","917,306",81.68%,96.73%,231,"31,001",2.76%,3.27%,,,"74,260","9,502,313","6,322,350","5,199,245",,,"68,744","42,168",,"23,416",8.46,5.63,3.69,17.76%,27.12%,1.03%,29.34%,"65,091","41,444",1.57,,"700,266","96,553","54,240","24,932","47,421","13,012",,,,,,,,,,,,
5-Feb,"11,749",,,"1,134,854","176,672",15.57%,"9,674","926,980",81.68%,96.74%,201,"31,202",2.75%,3.26%,,,"77,704","9,578,686","6,366,581","5,231,727",,,"76,373","44,231",,"23,580",8.44,5.61,3.76,17.83%,26.56%,1.05%,29.46%,"64,959","40,274",1.61,,"744,884","120,725","44,618","24,172","48,553","15,634",,,,,,,,,,,,
6-Feb,"12,156",,,"1,147,010","176,433",15.38%,"12,204","939,184",81.88%,96.77%,191,"31,393",2.74%,3.23%,,,"74,401","9,643,853","6,414,683","5,267,673",,,"65,167","48,102",,"23,758",8.41,5.59,3.96,17.88%,25.27%,1.07%,27.88%,"64,265","41,342",1.55,,"777,096","137,207","32,212","16,482","42,136","16,628",,,,,,,,,,,,
7-Feb,"10,827",,,"1,157,837","176,291",15.23%,"10,806","949,990",82.05%,96.79%,163,"31,556",2.73%,3.21%,,,"76,029","9,685,379","6,445,583","5,287,746",,,"41,526","30,900",,"23,873",8.37,5.57,2.85,17.96%,35.04%,0.94%,27.70%,"63,813","41,019",1.56,,"784,318","139,131","7,222","1,924","41,598","16,655",,,,,,,,,,,,
8-Feb,"8,242",,,"1,166,079","171,288",14.69%,"13,038","963,028",82.59%,96.81%,207,"31,763",2.72%,3.19%,,,"77,601","9,724,040","6,473,598","5,307,519",,,"38,661","28,015",,"23,976",8.34,5.55,3.40,18.01%,29.42%,0.71%,27.10%,"62,448","40,465",1.54,,"814,585","171,270","30,267","32,139","39,293","19,409",,,,,,,,,,,,
9-Feb,"8,700",,,"1,174,779","169,351",14.42%,"10,424","973,452",82.86%,96.82%,213,"31,976",2.72%,3.18%,,,"77,086","9,791,928","6,512,126","5,337,347",,,"67,888","38,528",,"24,119",8.34,5.54,4.43,18.04%,22.58%,0.75%,26.93%,"61,903","39,834",1.55,,"845,407","221,453","30,822","50,183","35,592","24,208",,,,,,,,,,,,
10-Feb,"8,776",,,"1,183,555","168,416",14.23%,"9,520","982,972",83.05%,96.83%,191,"32,167",2.72%,3.17%,,,"77,526","9,862,240","6,553,179","5,369,624",,,"70,312","41,053",,"24,271",8.33,5.54,4.68,18.06%,21.38%,0.75%,26.33%,"61,239","39,000",1.57,,"969,546","279,251","124,139","57,798","46,217","29,661",,,,,,,,,,,,
11-Feb,"8,435",,,"1,191,990","166,492",13.97%,"10,145","993,117",83.32%,96.84%,214,"32,381",2.72%,3.16%,,,"76,911","9,933,751",6591580,"5,399,590",,,71511,"38,401",,"24,413",8.33,5.53,4.55,18.08%,21.97%,0.71%,25.59%,"61,634","38,461",1.60,,"1,017,186","345,605","47,640","66,354","45,274","35,579",,,,,,,,,,,,
