Total Kasus,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
24 Dec,357,488,403,28,111,214,"3,132",51,"1,114","3,056","5,399",26,699,257,575,42,163,264,590,487,293,669,130,569,101,243,552,87,71,99,146,30,42,101,,
25 Dec,357,493,408,30,113,226,"3,153",51,"1,114","3,147","5,477",26,709,259,577,45,163,265,596,488,294,670,131,571,102,247,559,87,71,99,146,30,42,101,,
26 Dec,358,497,410,31,114,232,"3,167",52,"1,114","3,167","5,535",26,718,261,578,45,165,266,599,490,295,670,131,575,103,250,567,87,71,99,146,31,43,101,,
27 Dec,358,500,410,32,115,235,"3,189",52,"1,157","3,247","5,583",26,721,265,578,51,166,270,603,494,298,672,131,578,104,254,569,87,71,99,146,32,43,101,,
28 Dec,358,504,413,32,116,239,"3,210",52,"1,157","3,331","5,637",26,727,266,579,51,169,270,605,494,301,674,134,582,106,259,573,87,77,99,146,33,44,101,,
29 Dec,358,506,418,33,117,249,"3,228",54,"1,159","3,422","5,701",27,731,268,581,55,172,270,606,501,305,675,145,585,106,263,576,89,79,99,146,34,44,101,,
30 Dec,358,515,425,34,117,260,"3,249",55,"1,161","3,501","5,762",27,738,268,584,56,172,271,610,502,309,679,147,593,106,269,580,89,79,99,146,34,48,101,,
31 Dec,358,519,425,35,117,260,"3,270",55,"1,172","3,562","5,827",27,743,269,585,57,172,273,611,504,310,679,149,594,106,274,583,89,79,99,147,34,50,104,,
1 Jan,358,520,426,36,117,273,"3,290",55,"1,175","3,600","5,900",27,755,269,586,58,172,277,613,505,310,681,149,599,108,277,586,90,79,100,148,36,50,104,,
2 Jan,358,525,432,36,117,275,"3,316",56,"1,176","3,686","5,959",27,759,270,587,58,173,279,615,506,322,683,151,601,109,277,592,90,81,101,148,36,50,104,,
3 Jan,358,527,434,36,117,288,"3,326",56,"1,178","3,749","6,009",27,763,274,589,60,173,279,615,508,322,683,153,607,112,280,597,90,81,101,149,36,53,104,,
4 Jan,358,534,439,39,118,290,"3,347",57,"1,180","3,787","6,065",27,769,275,591,61,173,281,615,512,322,684,154,609,115,287,599,91,85,101,150,38,54,104,,
5 Jan,358,536,441,42,118,293,"3,366",57,"1,188","3,840","6,119",28,777,276,593,61,175,283,620,520,323,686,156,615,118,292,601,91,86,101,150,39,56,104,,
6 Jan,358,543,441,45,120,297,"3,382",57,"1,199","3,888","6,173",28,782,276,593,63,175,284,623,522,323,689,158,619,118,309,602,91,86,101,150,40,57,104,,
7 Jan,361,548,450,48,122,301,"3,403",59,"1,201","3,935","6,241",28,789,276,594,63,177,284,626,528,327,691,159,627,119,326,603,91,86,101,151,44,57,104,,
8 Jan,361,552,451,48,125,308,"3,427",60,"1,205","3,992","6,314",28,797,278,596,63,177,284,626,532,331,695,160,634,120,341,608,92,86,102,153,45,57,105,,
9 Jan,362,556,457,48,126,315,"3,454",60,"1,211","4,014","6,380",28,804,279,598,64,177,284,630,537,332,696,162,641,124,347,615,92,88,103,154,46,58,105,,
